Patient_ID	ENSG00000224037.2	ENSG00000229719.2	ENSG00000241449.1	ENSG00000258252.1	ENSG00000258573.1
TCGA-AX-A1CK-01	0.086069602	0	0.031434115	0	0
TCGA-AX-A1CN-01	0	0	0.013473072	0	0
TCGA-AX-A1CP-01	0	0	0	0	0
TCGA-AX-A1CR-01	0	0	0.030473739	0	0
TCGA-AX-A2H5-01	0	0	0	0	0.044837372
TCGA-AX-A2HC-01	0	0	0	0	0
TCGA-AX-A2HD-01	0	0	0.026636843	0	0
TCGA-AX-A2HF-01	0.09905078	0	0	0.074621215	0
TCGA-AX-A2HG-01	0	0	0.026647211	0.093526522	0
TCGA-AX-A2HJ-01	0.037462259	0	0	0	0
TCGA-AX-A2HK-01	0	0	0	0	0
TCGA-B5-A0JS-01	0.032681374	0	0	0	0
TCGA-B5-A0JT-01	0	0	0	0	0
TCGA-B5-A0JV-01	0	0	0	0	0
TCGA-B5-A0JX-01	0	0	0	0.170030246	0
TCGA-B5-A0JY-01	0	0	0	0	0
TCGA-B5-A0JZ-01	0	0	0	0	0
TCGA-B5-A0K0-01	0	0.037493878	0	0	0
TCGA-B5-A0K1-01	0	0	0	0.105709981	0
TCGA-B5-A0K2-01	0	0	0	0	0
TCGA-B5-A0K3-01	0.042318653	0	0	0	0
TCGA-B5-A0K4-01	0.099736273	0	0.230055293	0	0
TCGA-B5-A0K6-01	0	0	0	0	0
TCGA-B5-A0K7-01	0.048680031	0	0	0	0
TCGA-B5-A0K8-01	0.035086887	0	0	0.079299512	0
TCGA-B5-A0KB-01	0	0	0	0	0
TCGA-B5-A11E-01	0.073645161	0	0.05078058	0	0
TCGA-B5-A11F-01	0	0	0.062429629	0	0.027524884
TCGA-B5-A11G-01	0	0	0	0	0
TCGA-B5-A11H-01	0	0	0	0	0.022724985
TCGA-B5-A11I-01	0	0	0.012823484	0	0
TCGA-B5-A11J-01	0	0.018263385	0	0	0
TCGA-B5-A11M-01	0.070706369	0	0.025823196	0	0
TCGA-B5-A11N-01	0	0	0	0	0
TCGA-B5-A11O-01	0	0	0	0	0
TCGA-B5-A11P-01	0	0	0	0	0
TCGA-B5-A11Q-01	0	0	0	0	0
TCGA-B5-A11S-01	0	0	0	0.086810679	0
TCGA-B5-A11U-01	0	0	0	0	0.078332747
TCGA-B5-A11V-01	0.042698438	0	0	0	0
TCGA-B5-A11W-01	0	0	0	0	0
TCGA-B5-A11X-01	0	0	0	0	0
TCGA-B5-A11Y-01	0	0	0.038546235	0.119268619	0
TCGA-B5-A11Z-01	0	0	0	0.173302003	0
TCGA-B5-A121-01	0.03640926	0	0	0	0
TCGA-B5-A1MR-01	0	0	0	0	0
TCGA-B5-A1MU-01	0	0.019173217	0	0.079616138	0
TCGA-B5-A1MX-01	0.064468743	0	0	0	0.020761819
TCGA-B5-A1MY-01	0.238618414	0	0.286669719	0.179766339	0.076845802
TCGA-B5-A1N2-01	0	0	0	0	0
TCGA-BG-A0LW-01	0	0	0.026025018	0	0
TCGA-BG-A0LX-01	0.101242574	0	0.008108673	0.152544864	0
TCGA-BG-A0M0-01	0	0	0	0.085314203	0
TCGA-BG-A0M2-01	0.133347579	0	0.032467237	0	0
TCGA-BG-A0M3-01	0	0	0.025766344	0	0
TCGA-BG-A0M4-01	0	0	0	0	0
TCGA-BG-A0M6-01	0	0	0	0	0
TCGA-BG-A0M7-01	0	0	0	0	0
TCGA-BG-A0M8-01	0	0	0	0	0
TCGA-BG-A0M9-01	0.058243485	0	0	0	0
TCGA-BG-A0MA-01	0.107633694	0.010791511	1.052051629	0	0.069325728
TCGA-BG-A0MC-01	0.14214556	0	0	0	0
TCGA-BG-A0MG-01	0	0	0	0	0
TCGA-BG-A0MH-01	0	0	0	0	0.047374428
TCGA-BG-A0MI-01	0	0	0	0	0.023722668
TCGA-BG-A0MO-01	0	0	0	0	0
TCGA-BG-A0MQ-01	0	0	0	0	0
TCGA-BG-A0MS-01	0	0	0.029426567	0	0
TCGA-BG-A0MT-01	0	0	0	0	0
TCGA-BG-A0MU-01	0	0	0	0	0
TCGA-BG-A0RY-01	0	0	0	0	0.013384006
TCGA-BG-A0VT-01	0	0	0	0	0
TCGA-BG-A0VV-01	0	0	0	0	0
TCGA-BG-A0VW-01	0	0	0	0.1102419	0
TCGA-BG-A0VX-01	0	0	0	0	0
TCGA-BG-A0VZ-01	0.126751753	0	0	0.09549011	0
TCGA-BG-A0W1-01	0.045385359	0	0	0	0
TCGA-BG-A0W2-01	0.038111463	0	0	0	0
TCGA-BG-A0YU-01	0.204219925	0	0.030975054	0.095842094	0
TCGA-BG-A0YV-01	0.039259629	0	0	0	0
TCGA-BG-A186-01	0	0	0	0	0
TCGA-BG-A187-01	0.097932247	0	0	0	0
TCGA-BG-A18A-01	0	0	0	0	0
TCGA-BG-A18B-01	0.465035569	0	0	0	0
TCGA-BG-A18C-01	0.03904694	0	0.028521243	0.088249586	0
TCGA-BG-A220-01	0	0	0	0.082264987	0
TCGA-BG-A221-01	0.006747299	0	0	0	0.011485499
TCGA-BG-A222-01	0.035153149	0	0	0	0.022641773
TCGA-BG-A2AD-01	0	0	0.023144365	0	0
TCGA-BG-A2AE-01	0.055906667	0	0	0	0
TCGA-BK-A0C9-01	0	0	0.03143294	0	0
TCGA-BK-A0CA-01	0.039263927	0	0	0	0.025289481
TCGA-BK-A0CB-01	0	0	0	0.084857863	0
TCGA-BK-A0CB-01	0	0	0	0.084857863	0
TCGA-BK-A0CC-01	0	0	0	0	0
